Title,Abstract,Journal
Major deficit in the number of underrepresented minority academic surgeons persists.,"Eliminating health care disparities in the United States will require a multifaceted approach that will include increasing diversity in the health care workforce. Historically, the field of medicine, and particularly surgery, has had an incumbent that grossly misrepresents the patient population. Delineating the exact demographics of the U.S. surgical residents and faculty could provide outstanding information, yielding insight into a possible deficit that, if rectified by the medical education system, could change the face of surgery and the entire health care system.",Annals of surgery
Race and Ethnicity Misclassification in Hospital Discharge Data and the Impact on Differences in Severe Maternal Morbidity Rates in Florida.,"Hospital discharge (HD) records contain important information that is used in public health and health care sectors. It is becoming increasingly common to rely mostly or exclusively on HD data to assess and monitor severe maternal morbidity (SMM) overall and by sociodemographic characteristics, including race and ethnicity. Limited studies have validated race and ethnicity in HD or provided estimates on the impact of assessing health differences in maternity populations. This study aims to determine the differences in race and ethnicity reporting between HD and birth certificate (BC) data for maternity hospitals in Florida and to estimate the impact of race and ethnicity misclassification on state- and hospital-specific SMM rates. We conducted a population-based retrospective study of live births using linked BC and HD records from 2016 to 2019 (<i>n</i> = 783,753). BC data were used as the gold standard. Race and ethnicity were categorized as non-Hispanic (NH)-White, NH-Black, Hispanic, NH-Asian Pacific Islander (API), and NH-American Indian or Alaskan Native (AIAN). Overall, race and ethnicity misclassification and its impact on SMM at the state- and hospital levels were estimated. At the state level, NH-AIAN women were the most misclassified (sensitivity: 28.2%; positive predictive value (PPV): 25.2%) and were commonly classified as NH-API (30.3%) in HD records. NH-API women were the next most misclassified (sensitivity: 57.3%; PPV: 85.4%) and were commonly classified as NH-White (5.8%) or NH-other (5.5%). At the hospital level, wide variation in sensitivity and PPV with negative skewing was identified, particularly for NH-White, Hispanic, and NH-API women. Misclassification did not result in large differences in SMM rates at the state level for all race and ethnicity categories except for NH-AIAN women (% difference 78.7). However, at the hospital level, Hispanic women had wide variability of a percent difference in SMM rates and were more likely to have underestimated SMM rates. Reducing race and ethnicity misclassification on HD records is key in assessing and addressing SMM differences and better informing surveillance, research, and quality improvement efforts.",International journal of environmental research and public health
Ethnic/racial differences in the prevalence of injurious spanking and other child physical abuse in a National Survey of Adolescents.,"Limited research has examined whether similar patterns in injurious spanking and other forms of child physical abuse (CPA) exist across specific ethnic/racial groups. The authors examined and compared differences in the lifetime prevalence of injurious spanking and CPA in two national samples of adolescents across ethnic/racial groups and over time. Participants were 4,023 youth (12-17 years) and 3,614 youth (12-17 years) who participated in the 1995 National Survey of Adolescents (NSA) and 2005 National Survey of Adolescents-Replication (NSA-R), respectively. Adolescents, who were identified through random digit dial procedures, completed a telephone interview assessment. Results indicated significant ethnic/racial variation across groups in reports of injurious spanking in the NSA and the NSA-R samples; however, significant differences were not observed within groups between the two samples over time. Ethnic/racial differences also were found between groups in reports of CPA in the NSA-R sample. Limitations and future directions of this research are discussed.",Child maltreatment
Race/Ethnicity Matters: Differences in Poststroke Inpatient Rehabilitation Outcomes.,To examine racial/ethnic differences in poststroke inpatient rehabilitation outcomes.,Ethnicity & disease
Racial and Insurance Status Disparities in Patient Safety Indicators among Hospitalized Patients.,"To examine the association between patient race/ethnicity, insurance status, and their interaction with patient safety indicators among hospitalized patients.",Ethnicity & disease
Racial microaggressions and major discriminatory events explain ethnoracial differences in psychotic experiences.,"Few empirical studies have examined whether exposure to major racial discrimination explains ethnoracial disparities in psychosis outcomes and none to our knowledge have done so in the U.S. or have examined the role of other forms of racism such as racial microaggressions. The present study examined ethnoracial differences in self-reported psychotic experiences (PE) among 955 college students in an urban environment in the Northeastern U.S., and the degree to which major experiences of racial discrimination and racial microaggressions explains ethnoracial differences in PE. Mean scores on self-report inventories of PE and distressing PE (i.e., Prodromal Questionnaire (PQ)), major experiences of racial discrimination (EOD), and racial and ethnic microaggressions (REMS) were compared across 4 ethnoracial groups (White, Black, Asian, and Latina/o). Results from parallel mediation linear regression models adjusted for immigrant status, age, gender, and family poverty using the Hayes PROCESS application indicated ethnoracial differences in PE were explained independently by both forms of racism. Specifically, Black young people reported higher mean levels of PE, and distressing PE than both White and Latina/o people and the difference in PE between Black and White and Black and Latino/a young people was significantly explained by both greater exposure to racial microaggressions and major racial discriminatory experiences among Black people. This study re-emphasizes the explanatory role of racism, in its multiple forms, for psychosis risk among Black young populations in the US. Anti-racism interventions at both structural and interpersonal levels are necessary components of public health efforts to improve mental health in Black populations.",Schizophrenia research
Women's misconceptions about cancer screening: implications for informed decision-making.,"Informed decision-making about cancer screening requires that patients have a correct understanding of a test's purpose, benefits, and risks. Misconceptions, however, may be common. Semi-structured interviews were carried out and thematically coded using a purposive sample of 24 socioeconomically diverse white, African American, Latino and Chinese American women recruited from general medicine practices and community settings. Interviews focused on participants ideas related to cancer prevention and screening. Women expressed cancer-related beliefs characterized by inaccuracies, distortions, and over-simplifications. Many of these beliefs may go unrecognized in clinical settings yet have a profound influence on risk communication and, therefore, informed decision-making. Effective communication depends, first, on clinicians and patients sharing an accurate understanding of background concepts such as ""prevention,"" ""screening,"" and ""cancer.""",Patient education and counseling
Chronic Liver Disease and Cirrhosis Mortality Rates Are Disproportionately Increasing in Younger Women in the United States Between 2000-2020.,"Previous studies show that mortality from chronic liver disease (CLD) and cirrhosis is increasing in the United States. However, there are limited data on sex-specific mortality trends by age, race, and geographical location. The aim of this study was to conduct a comprehensive time-trend analysis of liver disease-related mortality rates in the National Center of Health Statistics (NCHS) database.",Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association
Legal mobilization in schools: the paradox of rights and race among youth.,"In this article, we analyze ethnoracial patterns in youth perceptions and responses to rights violations and advance a new model of legal mobilization that includes formal, quasi-, and extralegal action. Slightly more than half of the 5,461 students in our sample reported past rights violations involving discrimination, harassment, freedom of expression/assembly, and due process violations in disciplinary procedures. Students, regardless of race, are more likely to take extralegal than formal legal actions in response to perceived rights violations. Self-identified African American and Latino/a students are significantly more likely than white and Asian American students to perceive rights violations and are more likely to claim they would take formal legal action in response to hypothetical rights violations. However, when they perceive rights violations, African American and Asian American students are no more likely than whites to take formal legal action and Latino/a students are less likely than whites to take formal legal action. We draw on in-depth interviews with youth and adults—which we interlace with our quantitative findings—to explore the interpretive dynamics underlying these survey findings, and we offer several theoretical and methodological implications of our work.",Law & society review
"Neighborhood racial/ethnic concentration, social disadvantage, and homicide risk: an ecological analysis of 10 U.S. cities.","Homicide is one of the leading causes of death among African-American and Hispanic men. We investigated how neighborhood characteristics associated with social disadvantage explain racial/ethnic homicide gaps in 10 U.S. cities. The test hypotheses were that (1) higher concentrations of African-Americans and Hispanics would be associated with higher homicide rates and (2) the relationship between racial/ethnic concentration and homicide would be attenuated after adjusting for neighborhood characteristics (e.g., unemployment, median household income, low educational attainment, and female headship). The test hypotheses were examined using separate Poisson regression models, which adjusted for spatial autocorrelation. Homicide rates were greater in neighborhoods with higher concentrations of African-Americans and Hispanics than in other groups, and the association of neighborhood racial/ethnic concentration with homicide was reduced after adjusting for neighborhood social disadvantage variables, especially percent female head of household and percent persons with less than a high school education. We also found that the relationship between neighborhood racial/ethnic concentration and homicide was explained more by social disadvantage variables in some cities than in others. Based on our findings, policy makers may wish to consider implementation of policies that (1) expand early childhood education programs and higher education opportunities and (2) encourage economic and community development initiatives in socially disadvantaged neighborhoods.",Journal of urban health : bulletin of the New York Academy of Medicine
Keeping hope alive: Racial-ethnic disparities in distress tolerance are mitigated by religious/spiritual hope among Black Americans.,"Racial and ethnic minorities, including Blacks/African-Americans and Hispanics/Latinos,indicate lower tolerance to psychological distress (DT) and secular hope yet endorse more religious and spiritual hope than their non-Hispanic White (NHW) counterparts. Whether racial-ethnic minorities derive greater benefit from non-secular hope on the tolerance of psychological distress remains unclear. Self-reported endorsement of religious/spiritual (R/S) hope, secular hope, DT, and a number of other psychosocial, R/S and sociodemographic variables were analyzed from a nationwide survey of persons aged over 18 years (N = 2875) identifying as Black (14.2%), Hispanic (15.4%), or NHW (67.3%) using multiple regression. Overall, higher levels of both R/S and secular hope predicted greater DT. In turn, greater DT was associated with lower psychosomatic distress. Compared to NHW, the ethnic-minority groups reported lower overall levels of DT. An interaction for race-ethnicity further revealed that compared to distress intolerant NHW, Blacks/African-Americans at lower levels of DT report higher R/S and secular hope. Hispanics/Latinos were also higher on R/S and secular hope, but endorsed lower hope at higher levels of DT than the reference group. Although hope is considered a more passive form of coping, it is more frequently endorsed in marginalized ethnic-minority groups. However, compared to NHW, differences do exist in the extent to which R/S hope mitigates DT in Blacks/African-Americans compared to Hispanics/Latinos.",Journal of psychosomatic research
"Perinatal HIV testing among African American, Caucasian, Hmong and Latina women: exploring the role of health-care services, information sources and perceptions of HIV/AIDS.","Perinatal HIV transmission disproportionately affects African American, Latina and potentially Hmong women in the United States. Understanding racially and ethnically diverse women's perceptions of and experiences with perinatal health care, HIV testing and HIV/AIDS may inform effective health communications to reduce the risk of perinatal HIV transmission among disproportionate risk groups. We used a qualitative descriptive research design with content analysis of five focus groups of African American, Caucasian, Hmong and Latina women of reproductive age with low socioeconomic status distinguished by their race/ethnicity or HIV status. A purposive stratified sample of 37 women shared their health-care experiences, health information sources and perceptions of HIV testing and HIV/AIDS. Women's responses highlighted the importance of developing and leveraging trusted provider and community-based relationships and assessing a woman's beliefs and values in her sociocultural context, to ensure clear, consistent and relevant communications. Perinatal health communications that are culturally sensitive and based on an assessment of women's knowledge and understanding of perinatal health and HIV/AIDS may be an effective tool for health educators addressing racial and ethnic disparities in perinatal HIV transmission.",Health education research
The multigroup ethnic identity measure-revised: measurement invariance across racial and ethnic groups.,"The Multigroup Ethnic Identity Measure-Revised (MEIM-R), a brief instrument assessing affiliation with one's ethnic group, is a promising advance in the ethnic identity literature. However, equivalency of its measurement properties across specific racial and ethnic groups should be confirmed before using it in diverse samples. We examined (a) the psychometric properties of the MEIM-R, including factor structure, measurement invariance, and internal consistency reliability, and (b) levels of and differences in ethnic identity across multiple racial and ethnic groups and subgroups. Asian (n = 630), Black/African American (n = 58), Hispanic (n = 240), multiethnic (n = 160), and White (n = 375) women completed the MEIM-R as part of the ""Gestational diabetes' Effect on Moms"" diabetes prevention trial in the Kaiser Permanente Northern California health care setting (N = 1,463; M age = 32.5 years, SD = 4.9). Multiple-groups confirmatory factor analyses provided provisional evidence of measurement invariance, i.e., an equal, correlated 2-factor structure, equal factor loadings, and equal item intercepts across racial and ethnic groups. Latent factor means for the 2 MEIM-R subscales, exploration and commitment, differed across groups; effect sizes ranging from small to large generally supported the notion of ethnic identity as more salient among people of color. Pending replication, good psychometric properties in this large and diverse sample of women support the future use of the MEIM-R. Preliminary evidence of measurement invariance suggests that the MEIM-R could be used to measure and compare ethnic identity across multiple racial and ethnic groups.",Journal of counseling psychology
Multiculturalism and subjective happiness as mediated by cultural and relational variables.,"A diverse ethnic context and an increasing immigrant youth population will soon become the reality across the entire U.S. demographic landscape. Research has suggested that a multicultural context positively influences ethnic minority and immigrant youth by fostering ethnic identity and psychosocial development. However, it is unknown whether and how perceived multiculturalism can affect positive youth outcomes such as life satisfaction and subjective happiness. This study explored perceived school multiculturalism among 338 ethnic minority and immigrant youth, and found a positive relation between perceived school multiculturalism and subjective happiness with full mediation by ethnocultural empathy for African Americans, Asians, males, and females. Although school multiculturalism was also predictive of ethnocultural empathy for Hispanics, ethnocultural empathy in turn, was not significantly predictive of subjective happiness. Taken together, these results suggest that one way to facilitate psychological growth and flourishing among ethnic minority youth is to encourage multiculturalism in school settings.",Cultural diversity & ethnic minority psychology
"Diversity, Equity, and Inclusion: A Current Analysis of General Surgery Residency Programs.","Local, regional, and national diversity, equity, and inclusion (DEI) initiatives have been established to combat barriers to entry and promote retention in surgery residency programs. Our study evaluates changes in diversity in general surgery residency programs. We hypothesize that diversity trends have remained stable nationally and regionally.",The American surgeon
The Mood and Anxiety Symptom Questionnaire across four ethnoracial groups in an undergraduate sample.,"Increasing awareness of cross-cultural issues in psychology has led many to question the validity and utility of instruments in nonmajority ethnic and racial groups. The Mood and Anxiety Symptom Questionnaire (MASQ; Clark & Watson, 1991) is a widely used measure of anxious and depressive symptoms. However, some of the most-cited investigations into the psychometric properties of the MASQ have failed to report the demographics of their samples. The purpose of this study was to examine and compare the psychometric properties of the MASQ across ethnoracial groups. Results suggest that the internal consistency and convergent and divergent validity of the MASQ are similar across ethnoracial groups. Multigroup confirmatory factor analysis indicated cross-racial invariance of loadings on the General Distress and Anxious Arousal factors, although noninvariance was observed for the Anhedonic Depression. Implications for assessment and clinical research are discussed.",The American journal of orthopsychiatry
"Same spaces, different races: what can cafeteria seating patterns tell us about intergroup relations in middle school?","Using 2 segregation indices--an exposure index previously used in cafeteria studies and an entropy index used for the first time, to our knowledge, in this study--we examined racial segregation in seating patterns among ethnically diverse middle school students in their school cafeteria over a 2-week period. Given the representation of groups in the cafeteria each day, results indicated the expected amount of contact between Asian and White students, but more limited contact between Asian and Latino students and between White and Latino students. Latino students, who were in the numerical majority in the sample, appeared least likely to contribute to overall segregation in the cafeteria. Implications for using the cafeteria methodology to examine intergroup relations were discussed.",Cultural diversity & ethnic minority psychology
"Beyond black, white and Hispanic: race, ethnic origin and drinking patterns in the United States.","This study used data on 42,862 U.S. adults, including 18,352 past-year drinkers, to describe differentials by race and national origin in U.S. drinking patterns. Age-sex standardized estimates were presented within 21 categories of ethnic origin for whites and within five categories each for individuals of black and other races. Of the three racial groups, whites were the most likely to drink, but blacks had the highest volume of intake and frequency of heavy drinking. Differences by ethnic origin within racial categories were as marked as differentials between races. Compared to whites of European origin, those of Hispanic and native American origin were less likely to drink but consumed more alcohol on days when they drank. Whites of Southern and Eastern European origin drank proportionately more wine and demonstrated more moderate drinking patterns (lower intake per drinking day and/or less frequent heavy drinking) than those of Northern or Central European origin. Hispanics of Caribbean origin were less prone to heavy drinking than other white Hispanics; similarly, blacks from the English-speaking Caribbean showed more moderate drinking patterns than other blacks. Individuals of Asian origin, in particular those of non-Japanese origin, had the most moderate drinking patterns within the category of other race. Although the black/white differentials in volume of intake and frequency of heavy drinking disappeared after adjusting for marital status, education and income, most of the differences by ethnic origin retained their statistical significance if not their original magnitudes. These findings indicate that cultural forces exert a strong effect on drinking behavior. Differences among European whites with respect to prevalence of drinking, beverage preference and frequency of heavy drinking suggest that the association between ethnic origin and drinking behavior may persist even after many generations of presumed acculturation.",Journal of substance abuse
Food shopping behaviours and exposure to discrimination.,"The present study examined food shopping behaviours, particularly distance to grocery shop, and exposure to discrimination.",Public health nutrition
Mother and Infant Predictors of Rapid Infant Weight Gain.,"<i>Objective</i>. To examine characteristics of the infant and mother associated with rapid infant weight gain (RIWG). <i>Methods</i>. Electronic health records (N = 4626) of term infants born were reviewed. Multivariable logistic regression examined the presence of RIWG (vs not) using participant characteristics in the whole sample and in stratified groups. <i>Results</i>. The prevalence of RIWG was 18.7%. Predictors of RIWG were infant male sex, younger infant gestational age, firstborn (vs later born) status, maternal Black or Other (Asian, American Indian, etc), non-Hispanic race/ethnicity (vs White non-Hispanic), Medicaid (vs non-Medicaid insurance), and maternal cigarette smoking status (vs never smoker). The regression model explained between 7.0% and 11.4% of the variance in RIWG. There were few differences in predictors of RIWG in stratified samples. <i>Conclusions</i>. Early childhood obesity intervention efforts may target the modifiable risk factors for RIWG starting prenatally.",Clinical pediatrics
Educational Attainment of Grandmothers and Preterm Birth in Grandchildren.,"Maternal education has been shown repeatedly to be inversely associated with preterm birth. Both preterm birth and educational level of families are correlated across generations, but it is not clear if educational level of grandparents affects the risk of preterm delivery of their grandchildren, and, if so, if the association with grandmother's education is independent of mother's education.",Maternal and child health journal
"Association of Work Requirements With Supplemental Nutrition Assistance Program Participation by Race/Ethnicity and Disability Status, 2013-2017.","Increased work requirements have been proposed throughout federal safety net programs, including the Supplemental Nutrition Assistance Program (SNAP). Participation in SNAP is associated with reduced food insecurity and improved health.",JAMA network open
The role of ethnic identity and self-construal in coping among African American and Caucasian American seventh graders: an exploratory analysis of within-group variance.,"Much coping research has been conducted comparing members of different ethnic groups using discrete racial classifications. However, the past two decades have seen the construct of ethnicity evolve into a complex variable that must be assessed in a more comprehensive way. This study explored how ethnicity, a discrete variable, and the continuous variables of a person's ethnic identity and self-construal contribute to the use of particular coping strategies across various situations. One hundred twelve seventh graders (67 African Americans and 45 Caucasian Americans) from three suburban middle schools completed questionnaires assessing ethnic identity, self-construal, and coping strategies for medical, test, and social criticism stressors. Results supported the hypothesis that ethnicity as a discrete variable is not associated with coping, but that ethnic identity and self-construal are. It was also found that high scores on the ethnic identity and self-construal scales were indicative of more positive psychological adjustment. Implications for future research and methodological considerations are discussed.",Adolescence
Extreme variations in racial rates of total hip arthroplasty for primary coxarthrosis: a population-based study in San Francisco.,"To compare the incidence of all total hip arthroplasty, and total hip arthroplasty for primary coxarthrosis, among the Asian, black, Hispanic, and white populations living in one locale.",Annals of the rheumatic diseases
Multiracial in Middle School: The Influence of Classmates and Friends on Changes in Racial Self-Identification.,"In the present research, the influence of racial diversity among classmates and friends on changes in racial self-identification among multiracial youth was examined (n = 5,209; M<sub>age</sub>  = 10.56 years at the beginning of sixth grade). A novel individual-level measure of diversity among classmates based on participants' course schedules was utilized. The findings revealed that although there was some fluidity in multiracial identification at the beginning of middle school, changes in multiracial identification were more evident later in middle school. In addition, although diversity among classmates and friends both increased the likelihood of multiracial identification in the beginning of middle school, only diversity among friends mattered later in middle school, when fluidity in multiracial identification was at its peak.",Child development
"Asian Americans: growth, change, and diversity.",,Population bulletin
Sociocultural factors in MI recovery: an exploratory study.,"The reported study examines the influence of socioeconomic status (SES) and ethnicity in coping with a first acute myocardial infarction (MI). The study employed a panel design in which seventy-five patients were interviewed during acute hospitalization and six months later, and sixty of those were interviewed again at one year post-MI. Using the analysis of variance test, gradients in anxiety, functional status, and self-reported health status were found among lower SES Blacks, Hispanics, Anglos and upper SES Anglos as well as statistically significant differences in personal sense of control, beliefs about recovery, coping responses, and social support systems. More important, analysis of covariance documents that associations between coping variables and post-MI recovery outcomes vary among the different sociocultural groups.",International journal of psychiatry in medicine
"Assessment of the influence of food attributes on meal choice selection by socioeconomic status and race/ethnicity among women living in Chicago, USA: A discrete choice experiment.","Large and persistent obesity disparities exist in the US by socioeconomic status (SES) and race/ethnicity, and weight loss interventions have traditionally been less effective in these populations. Thus, a better understanding is needed of the behavioral, economic, and geographic factors that influence obesity risk factors such as eating behaviors. We used a discrete choice experiment to evaluate the impact of different meal attributes on meal choice and to test whether the relative importance of these attributes varied by SES and race/ethnicity. Study participants (n = 228) were given a series of 10 choice tasks and asked to choose among 4 meals, each rated based on the following attributes: taste; healthfulness; preparation time; travel time to food outlet for meal/ingredients; and price. SES was measured using education and self-reported difficulty paying for basics. Race/ethnicity was categorized as Hispanic/Latina, non-Hispanic black, non-Hispanic white, and non-Hispanic other. Data were analyzed using mixed logit regression models with interaction terms to determine whether meal attributes influenced meal choices differentially by SES and race/ethnicity. Healthfulness and taste were the most important attributes for all participants. Price was a more important attribute among those in the lowest SES group compared with those in the higher SES groups. Travel was the least important attribute for low SES participants, and it was not significantly related to meal choice in these groups. Discrete choice experiments as illustrated here may help pinpoint the most salient targets for interventions to improve eating behaviors and reduce obesity disparities. Specifically, our findings suggest interventions should incorporate strategies to target the pricing of healthy and unhealthy food options.",Appetite
The association of early childhood caries and race/ethnicity among California preschool children.,This paper explores the role of race/ethnicity in the occurrence of early childhood caries (ECC) among California Head Start (HS) and non-HS preschool children.,Journal of public health dentistry
DBP Evaluations in DBPNet Sites: Is Race/Ethnicity a Significant Factor in Care?,"To examine whether there are differences between non-Hispanic white (NHW) and nonwhite (NW) children in referral questions, evaluations, and diagnoses during developmental behavioral pediatrician (DBP) evaluations at academic medical centers and the potential role of socioeconomic factors in any disparities noted.",Journal of developmental and behavioral pediatrics : JDBP
Disentangling the Stress Process: Race/Ethnic Differences in the Exposure and Appraisal of Chronic Stressors Among Older Adults.,"Exposure to stressors is differentially distributed by race/ethnicity with minority groups reporting a higher stress burden than their white counterparts. However, to really understand the extent to which some groups bear a disproportionate stress burden, we need to consider race/ethnic differences in stress appraisal, specifically how upsetting stressors may be, in addition to stress exposure. We examine racial/ethnic differences in both the number of reported chronic stressors across five domains (health, financial, residential, relationship, and caregiving) and their appraised stressfulness among a diverse sample of older adults.","The journals of gerontology. Series B, Psychological sciences and social sciences"
"Breast cancer screening among adult women--Behavioral Risk Factor Surveillance System, United States, 2010.","Breast cancer continues to have a substantial impact on the health of women in the United States. It is the most commonly diagnosed cancer (excluding skin cancers) among women, with more than 210,000 new cases diagnosed in 2008 (the most recent year for which data are available). Incidence rates are highest among white women at 122.6 per 100,000, followed by blacks at 118 per 100,000, Hispanics at 92.8, Asian/Pacific Islanders at 87.9, and American Indian/Alaskan Natives at 65.6. Although deaths from breast cancer have been declining in recent years, it has remained the second leading cause of cancer deaths for women since the late 1980s with >40,000 deaths reported in 2008. Although white women are more likely to receive a diagnosis of breast cancer, black women are more likely to die from breast cancer than women of any other racial/ethnic group. In addition, studies have demonstrated that nonwhite minority women tend to have a more advanced stage of disease at the time of diagnosis. Breast cancer also occurs more often among women aged ≥50 years, those with first-degree family members with breast cancer, and those who have certain genetic mutations. Understanding who is at risk for breast cancer helps inform guidelines for who should get screened for breast cancer.",MMWR supplements
The impact of race on organ donation authorization discussed in the context of liver transplantation.,"Inadequate organ donation limits transplantation for many in need of a life-saving organ. Race of donor families and requesting coordinators may impact the authorization rate for organ donation. We evaluated authorization rates for organ donation within the New York Organ Donor Network by race during 2009 and 2010. The donation authorization rate varied considerably according to the race of the donor. The authorization rate was 57% for Hispanic, 53% for Caucasian, 48% for African-American, and 23% for Asian donor families. Fifty-five percent of donor families agreed to donation when there was racial concordance between coordinator and donor. Donation authorization was 49% when a racial mis-match existed. When adjusted for coordinator training and experience, racial discordance had a lesser impact on authorization rates. Our findings suggest the need for education and communication strategies to overcome racial-associated perception during the organ donation process.",Transactions of the American Clinical and Climatological Association
Racial and Linguistic Status Differences in the Effect of Interscholastic Sport Participation on School Engagement and Academic Performance Among High School Students.,,Psychological reports
Satisfaction with Care and Attention to Age-Specific Concerns by Race and Ethnicity in a National Sample of Young Women with Breast Cancer.,"<b><i>Purpose:</i></b> In light of disparities in breast cancer care and outcomes, we explored whether attention to fertility, genetic, and emotional health concerns, as well as satisfaction with care, differs by race/ethnicity among young breast cancer patients. <b><i>Methods:</i></b> The Young and Strong Study was a cluster randomized trial of an intervention for patients and providers at 54 U.S. oncology practices enrolling women diagnosed with breast cancer at ≤45 years of age. Provider attention to fertility, genetics, and emotional health was evaluated by medical record review. The proportions of patients with attention to these concerns were compared by race/ethnicity (Hispanic, non-Hispanic Black [NHB], Asian, non-Hispanic White [NHW], or multiracial/other). Satisfaction with care was assessed with the Patient Satisfaction Questionnaire-18 (PSQ-18) at 3 months, with median scores for each of 7 PSQ-18 subscales (general satisfaction, interpersonal manner, communication, financial, time spent with doctor, accessibility, and technical quality) compared by race/ethnicity. <b><i>Results:</i></b> Among 465 patients, median age at diagnosis was 40; 6% were Hispanic, 11% NHB, 4% were Asian, 75% NHW, and 3% multiracial/other. Provider attention to genetics, emotional health, and fertility did not differ by race/ethnicity. Median PSQ-18 scores did not differ by race/ethnicity, with median subscale scores ranging from 3.0 to 4.5 across groups, indicating high levels of satisfaction. <b><i>Conclusion:</i></b> Satisfaction with care and provider attention to age-specific concerns were similar across racial/ethnic groups among young patients enrolled in an educational and supportive care intervention study. These data suggest that high-quality, equitable care is feasible. Further care delivery research is warranted in more diverse patient and practice settings. Clinical Trial Registration number: NCT01647607.",Journal of adolescent and young adult oncology
"Trends in Racial and Ethnic Disparities in Childhood Asthma in Miami, Florida: 2005-2013.","Nationally, racial and ethnic disparities in childhood asthma plateaued from 2005 to 2013. We assessed trends in childhood asthma in Miami, Florida using Youth Risk Behavior Surveillance System (YRBSS) data and emergency department (ED) utilization and hospitalization rates by zip code population characteristics. Asthma prevalence in Miami did not vary significantly by race/ethnicity in YRBSS respondents in 2005 (16.2-17.2%, all groups), but rose in African-Americans and Hispanics and declined in Whites by 2013 to 27.9, 20.9 and 12.6%, respectively (P = 0.02). Median asthma ED visit rates rose from 106.8 (2006-2008) to 138.2 (2011-2013; P = 0.004) per 10,000 children. High-poverty and majority African-American zip codes were 6.3 and 7.3 times more likely to have asthma ED visit rates > 200 than others (P < 0.001). In high-poverty zip codes, majority African-American population was not associated with significantly higher ED utilization. In low-poverty zip codes, the association became stronger. Greater poverty explains much, but not all of Miami African-Americans' higher asthma risk.",Journal of immigrant and minority health
Minority inclusion in clinical trials issues and potential strategies.,,Journal of the National Cancer Institute. Monographs
Correlates of patient-reported racial/ethnic health care discrimination in the Diabetes Study of Northern California (DISTANCE).,We examined possible determinants of self-reported health care discrimination.,Journal of health care for the poor and underserved
Race and beliefs about mental health treatment among anxious primary care patients.,"Large racial disparities in the use of mental health care persist. Differences in treatment preferences could partially explain the differences in care between minority and nonminority populations. We compared beliefs about mental illness and treatment preferences between adult African-Americans, Hispanics, Asian Americans, Native Americans, and White Americans with diagnosed anxiety disorders. Measures of beliefs about mental illness and treatment were drawn from the National Comorbidity Survey Replication and from our previous work. There were no significant differences in beliefs between the African-Americans and the White Americans. The beliefs of the Hispanics and the Native Americans were most distinctive, but the differences were small in magnitude. Across race/ethnicity, the associations between beliefs and service use were generally weak and statistically insignificant. The differences in illness beliefs and treatment preferences do not fully explain the large, persistent racial disparities in mental health care. Other crucial barriers to quality care exist in our health care system and our society as a whole.",The Journal of nervous and mental disease
"Dental care visits among dentate adults with diabetes, United States, 2003.","Regular dental assessments are beneficial to adults with diabetes. This analysis evaluates nationally representative data to test the relation between diabetes status and dental care visits, and to compare diabetes care, foot care, eye care, and dental care visits among dentate adults with diabetes.",Journal of public health dentistry
Differences in Pancreatic Cancer Incidence Rates and Temporal Trends Across Asian Subpopulations in California (1988-2015).,"Ethnic disparities in pancreatic cancer (PanCan) incidence exist, but little is known about incidence trends in heterogeneous Asian Americans. We examined PanCan incidence and temporal patterns among detailed ethnic populations, including Asian American subgroups.",Pancreas
Challenging conventional wisdom about who quits: revelations from corporate America.,"Findings from 20 corporations from the Attrition and Retention Consortium, which collects quit statistics about 475,458 professionals and managers, extended and disputed established findings about who quits. Multilevel analyses revealed that company tenure is curvilinearly related to turnover and that a job's past attrition rate strengthens the (negative) performance- exit relationship. Further, women quit more than men, while African Americans, Hispanic Americans, and Asian Americans quit more than White Americans, though racial differences disappeared after confounds were controlled for. African American, Hispanic American, and Asian American women quit more than men of the same ethnicities and White Americans, but statistical controls nullified evidence for dual discrimination toward minority women. Greater corporate flight among women and minorities during early employment nonetheless hampers progress toward a more diversified workforce in corporate America.",The Journal of applied psychology
Socioeconomic status and race/ethnicity independently predict health decline among older diabetics.,There are pervasive racial and socioeconomic differences in health status among older adults with type 2 diabetes. The extent to which racial/ethnic and socioeconomic disparities unfold to differential health outcomes has yet to be investigated among older adults with diabetes. This study examines whether or not race/ethnicity and SES are independent predictors of steeper rates of decline in self-rated health among older adults in the U.S. with type 2 diabetes.,BMC public health
